Downloads;Link;Size;Rating;Authors;Difficulty;Exits;Featured;Demo;Date;Id;Name
1074;https://dl.smwcentral.net/14967/ColonThree.zip;207010;4.7;"[""HoorayForJay"", ""ShadowDragon121""]";Pit;2;true;false;2017-01-19T03:00:04.0;14967;ColonThree
3926;https://dl.smwcentral.net/11342/Item%20Abuse%20v1.7.zip;24300;4.7;"[""PangaeaPanga""]";Pit;1;false;false;2015-05-18T01:00:43.0;11342;Item Abuse
500;https://dl.smwcentral.net/18608/Pit%20Of%20God.zip;120390;4.7;"[""HKSo051""]";Pit;1;false;false;2018-12-24T23:11:23.0;18608;Pit of God
3171;https://dl.smwcentral.net/17304/Super%20Hark%20Bros%201.21.zip;475050;4.7;"[""chrisg_games""]";Kaizo: Light;16;false;false;2018-04-04T02:53:48.0;17304;Super Hark Bros
2573;https://dl.smwcentral.net/18860/Super%20Vanilla%20World%20%28v1.1%29.zip;317440;4.7;"[""Mario_B""]";Normal;23;false;false;2019-01-09T02:35:05.0;18860;Super Vanilla World
24454;https://dl.smwcentral.net/11254/vldc8_1.2.zip;1300000;4.7;"[""SMW Central""]";Normal;121;true;false;2015-04-28T03:52:20.0;11254;The 8th Annual Vanilla Level Design Contest: Collaboration Hack
8746;https://dl.smwcentral.net/10545/SuperMarioWorldRemix.zip;38070;4.6;"[""YMM""]";Hard;32;true;false;2015-01-20T14:51:45.0;10545;Super Mario World Remix
5041;https://dl.smwcentral.net/12923/Super%20Linkdead%20World.zip;274340;4.6;"[""GbreezeSunset""]";Kaizo: Light;10;false;true;2016-03-09T20:19:48.0;12923;Super Linkdead World
2159;https://dl.smwcentral.net/5237/SMW2%20Demo.zip;205180;4.6;"[""Adam""]";Easy;7;false;true;2013-06-26T21:23:57.0;5237;Super Mario World 2
978;https://dl.smwcentral.net/15823/TPL2.zip;185610;4.6;"[""IgorS777""]";Pit;1;false;false;2017-07-23T18:20:25.0;15823;The Pit Level 2
12596;https://dl.smwcentral.net/15968/Super_Dram_World_2_v1.2.zip;136590;4.6;"[""PangaeaPanga""]";Kaizo: Light;21;true;false;2017-08-06T04:28:44.0;15968;Super Dram World 2
5821;https://dl.smwcentral.net/11932/Super%20Foss%20World%20v1.31.zip;316310;4.6;"[""PangaeaPanga""]";Kaizo: Light;22;false;false;2015-08-22T04:50:25.0;11932;Super Foss World
1099;https://dl.smwcentral.net/15713/Fishing_Season_2.zip;255780;4.6;"[""Mandew""]";Normal;14;false;false;2017-06-28T22:11:56.0;15713;Fishing Season 2
1665;https://dl.smwcentral.net/16348/One%20screen%20puzzle%201.zip;26450;4.6;"[""SwagDePaul""]";Kaizo: Light;1;false;false;2017-10-13T19:53:26.0;16348;One screen puzzle N°1
2699;https://dl.smwcentral.net/14080/My%20little%20Puzzles%202%20-%20The%20Continents%20of%20Knowledge.zip;811660;4.6;"[""Chosentw0"", ""Sariel""]";Kaizo: Light;57;false;false;2017-01-16T18:34:32.0;14080;My little Puzzles 2 - The Continents of Knowledge
